Y,X1,X2,X3
0,12.86,7.14,317.6494745
11.2,10.15,16.21,585.5677935
0,20,-15,451.7390776
0,41.44,-1.36,201.7592278
-0.39,24.69,-24.69,398.9871998
-0.23,14.31,19.32,915.1276862
-0.24,30.03,4.97,344.3253318
0.92,22.51,-3.77,195.641298
-6.07,13.11,13.29,503.257166
8.47,1.89,11.11,55.33060192
2.92,35.6,-26.93,860.5087949
0,15,-15,201.0022068
-0.1,19.98,11.7,681.7382585
-0.26,50.01,-25.02,657.7742979
-4.61,35.27,-5.27,629.2818104
0,64.78,-43.49,5.525244339
-10.86,16.36,15.32,116.9526269
7.69,28.98,1.39,948.1776217
0.07,25.03,0.86,133.5176865
-3.55,45.49,-10.22,104.8822415
0,35,4.51,422.6219492
-11.2,17.5,11.51,193.6795926
1.04,34.89,-9.89,129.7072163
0,49.99,-20,827.8752125
-8.35,21.66,8.33,235.7305059
-2.71,15.13,-1.78,16.49998924
0,1.8,18.18,161.5287091
0,29.01,-1.73,1440.580936
0.26,54.98,-4.99,364.882907
0,10,-10,6.493743604
0,3.37,16.63,143.6644831
-0.24,19.98,15.09,747.4381958
6.38,41.84,3.16,626.5492408
0,25,-12.52,1220.205774
9,61.44,-36.44,1496.191291
-3.59,33.01,16.62,757.4485761
10.69,13.64,27.66,512.2902569
1.25,38.76,1.27,726.2057654
0,24.99,-16.34,191.055055
0.09,23.19,-6.2,1651.136042
-9.01,40.27,-38.55,1292.824204
6.35,39.51,6.12,246.0462962
0,30.5,-6.86,944.4008133
0.02,5,22.83,499.6710959
0,14.25,5.75,263.228573
-5.86,27.19,-0.72,254.6879869
7.28,28.38,1.61,1626.831976
-0.29,11.85,26.89,471.5744829
0,26.4,-16.5,461.6231377
-2.35,11.75,32.91,1402.246501
9.04,26.23,-1.23,1228.502085
-0.26,29.98,-3.33,121.2262857
-4.16,28.73,1.28,283.1402449
0.73,55.25,-15.26,960.9338329
0,12.27,7.69,1685.6621
-9.36,18.75,-4.84,217.0037633
-0.17,24.49,3.12,792.4567781
0,27.83,6.06,1589.659262
-4.02,25.38,20.11,1880.698732
0.17,14.13,11.33,287.4822717
0,19.99,-10.8,437.1419826
-4.21,4.62,17.38,279.7513025
0,18.35,1.61,239.0228986
11.2,42.93,-6.44,455.6278447
0,0,31.92,478.6133155
-1.23,25.01,10.89,1038.788023
6.27,34.46,-4.53,333.2806932
5.27,16.11,13.82,1620.989046
-8.25,3.33,-0.83,18.81673893
0,5.67,4.33,4.722993331
-1.16,35.39,-35.39,671.9107339
-7.89,31.31,-11.55,14.56488575
0.2,32.15,2.81,642.487573
-7.07,35.91,4.57,529.6539255
-6.9,25.89,11.17,611.4547532
-4.7,38.14,-2.95,330.11093
-0.06,8.5,13.86,1003.860621
0,10,14.99,195.9117225
0,45,-14.17,403.8639581
-1.61,40.08,-10.08,798.8145851
-1.46,24.12,35.84,1640.67653
-1.66,20.18,-0.18,77.00416972
0.15,34.17,-4.54,200.51193
0,40,-5.5,179.7342535
-3.62,26.59,-2.52,5.548658306
0,40,8.63,282.6950663
5.88,44.13,-5.65,407.4316223
0.92,37.82,0.62,92.66609064
0,25,5,578.2463851
3.96,51.83,-11.97,488.6839666
6.26,39.47,-14.47,329.1626181
4.29,15.38,-14.25,884.2274773
-9.15,37.55,3.04,372.3608782
5.39,29.15,0.88,9.520824544
-0.87,61.3,0.14,48.67343913
0,1.8,18.18,172.4868159
0,21.17,-1.17,336.1596952
2.73,47.96,-20.44,1080.544247
-0.11,33.04,6.21,816.3149812
-0.24,39.97,-1.73,25.68818859
-0.25,50.02,-50.02,818.939983
0,11.75,18.25,318.7859923
-1.3,25.3,9.69,794.4920269
1.91,46.6,-6.58,1111.302278
0.03,50,-14.63,811.9535523
0.02,24.75,5.99,99.5615693
0,10,-0.53,38.14986081
0.77,28.62,-16.14,510.7305498
0,10,27.21,2043.53513
-11.2,20.7,9.33,207.4536113
0.85,59.94,-32.33,1215.416631
-8.31,26.64,8.39,262.4713886
-0.34,20,0,765.4325438
-2.03,14.81,2.69,76.69652345
1.87,10.08,-8.95,32.32787257
-3.93,29.36,6.88,512.1329572
-8.49,31.86,2.5,1144.797307
5.66,19.96,-1.97,3.508897975
0.07,24.49,-4.86,296.2488496
-1.76,32.83,-32.83,450.3233626
0.13,30,-7.47,637.0747253
0,35.75,-5.2,1005.543702
6.27,9.47,-9.47,39.47430345
8.34,33.36,-4.35,182.3790166
-0.41,37.67,-12.67,1008.23034
2.65,51.19,-12.67,567.0693315
0,30.01,3.88,1736.114114
4.32,19.63,-12.73,78.26269229
-2.44,28.24,-23.26,878.0145388
0,9.19,9.58,411.2376539
2.27,13.21,15.54,1101.484992
0.35,15.95,-1.28,170.6723803
2.86,41.1,-0.51,310.1005165
0,9.83,-0.83,32.86634846
8.59,43.33,16.63,609.7409802
0.23,59.93,-34.94,1538.826317
10.37,28.78,-1.97,1839.223315
-8.53,27.61,-17.69,402.2705613
0,35,-17.01,423.9310306
-0.24,19.98,19.64,534.2209288
0,10,0,54.00017607
-1.84,24.93,16.42,735.205861
2.49,51.2,-21.2,517.3099728
0,25,-2.13,1307.128885
-1.43,18.78,1.6,324.2456363
-10.74,37.5,-7.5,595.5274851
0,15,19.2,1789.366636
0.09,45.03,-43.72,1710.639256
5.62,39.24,-3.87,531.155075
-0.08,45.63,-17.12,1333.625972
0.26,40.01,-11.5,1232.985686
6.91,19.08,10.92,423.6358611
-4.24,22.62,-1.39,1007.040196
4.16,46.45,-18.21,920.8050264
-0.04,27.29,32.67,1695.27738
0,28.36,-13.69,71.44357604
0,10,35.49,1708.620586
-11.2,14.35,10.65,67.60851764
0,0,19.99,760.5623354
-0.75,37.06,-12.56,125.3980582
-9.16,1.73,22.59,51.14264094
11.2,3.85,29.93,411.4052484
0,8.7,15.42,170.0242325
-11.2,13.94,5.69,272.542129
0,27.67,-20,471.8769756
-0.82,65.07,-35.07,117.5679915
0,0,8.63,190.8012174
-0.04,24.09,-3.01,446.3572483
7.2,38.65,-15.8,1269.753671
0,0,10,60.60966726
-6.33,1.58,19.65,651.6541327
2.32,23.92,-6.93,435.8463507
0,10.31,-1.26,139.2643666
0.03,28.99,7.81,1741.933145
4.63,25.57,-10.55,687.1408781
0,25,13.07,287.6548172
10.68,33.63,24.55,812.3510621
-1.53,31.92,14.53,896.145253
-5.52,30.98,-10.99,417.3995356
0.27,25.02,1.45,340.1234211
-2.03,15.1,9.9,127.0000648
-10.99,58.2,6.86,12.99483544
-3.58,45.94,-15.94,121.6580136
0,1.13,27.11,520.0669311
-3.99,9.47,19.54,1153.198634
-11.2,37.96,17.04,638.1176827
-1.62,39.54,-9,1397.919196
11.2,52.52,7.44,263.659699
-10.88,18.66,-0.76,204.3429968
-0.51,35.03,-12.6,716.3826923
0,15,19.48,1319.041136
0.74,30.02,4.95,699.6125011
-2.81,37.81,-14.34,95.16111772
0,39.99,-14.99,468.8320396
0,35,-12.49,594.0679977
-1.57,17.17,-7.25,149.8065856
-11.2,4.07,0.6,868.4979082
-0.63,56.43,-35.14,521.0971522
0,12.34,0.38,47.82102844
0,20.67,19.32,1354.352316
0,15,46.85,1709.470569
0.25,19.98,0.09,27.61317961
0,14.99,-12.59,1083.948004
0,15.68,5.66,239.4477698
0,0,31.68,504.0086689
6.87,14.29,20.71,676.7850421
11.2,2.4,26.65,365.6302292
-0.06,15.03,10,303.2287384
-11.2,12.26,3.28,123.4761178
-0.25,33.02,-3.02,217.7185752
11.2,29.95,20.05,827.8797054
0.21,14.21,14.12,32.02488411
0,35,-13.06,1310.578188
-4.09,29.62,-8.33,1260.591274
-1.89,46.76,-21.76,484.9092959
0,35,0,894.3762633
1.6,38.44,1.56,288.4705011
9.56,20.27,-19.1,1693.19705
2.81,20.73,-13.83,229.0069709
3.88,29.33,16.3,407.869023
0,19.63,30.46,1253.572649
2.25,61.94,-26.75,1120.101316
0.09,35,-11.36,157.1759969
0,32.01,-12.01,1239.920802
-3.39,29.05,-1.14,194.5225154
0,17.17,-6.86,55.15787201
0.87,30.28,-11.54,399.9584438
10.92,16.35,0.4,195.5523296
0,0,9.92,40.55062856
4.49,45.39,-25.63,721.2742188
11.2,18.69,1.31,202.5372526
0,37.85,-14.21,378.0914795
0,29.99,-0.35,234.6669021
0.07,35,-10,136.7095236
-2.72,39.59,-19.61,507.9168691
4.5,40.37,-24.99,432.9070471
-0.61,50,-14.81,816.1686877
0,8.41,12.88,853.1872018
0,25,-16.25,453.2520299
3.64,59.15,-11.79,244.0413298
4.27,36.3,-11.31,749.4668305
-11.2,34.21,-7.4,418.2121038
0,30,-5,631.4152586
5.71,40.5,21.35,897.2037355
9.13,18.74,17.56,486.3035019
0,9,19.38,1406.987088
0,5,7.86,128.6539466
-1.83,24.91,23.05,1910.28767
-0.25,35.02,-17.48,202.3797215
-6.45,0.97,34.1,817.9567103
0,0,29.99,242.2889172
-5.6,20.85,-10.85,330.5177692
11.2,36.09,-1.38,160.7295938
-10.95,26.42,-16.42,914.9197348
-3.57,29.68,-4.69,39.48197163
-6.85,39.23,-4.1,83.91302128
0,0,18.77,147.2100161
11.2,28.01,6.98,628.6517896
-5.25,21.94,12.68,1229.047347
-0.12,33.17,1.19,353.2533074
0,20,9.53,634.3462728
0,3.7,0.97,7.328245697
0,3.25,26.76,1504.468143
0,35,-10,813.8282613
0,15,10,1452.179493
0,20,-16.63,87.66241252
4.61,39.11,1.48,527.6830733
0,40,-16.5,349.7563641
5.2,60.57,-36.07,1317.646606
0,30,10.06,384.8299962
-8.26,7.17,3.14,20.23806624
0,0,24.99,153.8643182
4.34,36.25,-2.05,801.8289631
0,30.01,-0.39,266.8216716
-11.2,16.92,13.08,153.2594858
9.27,38.07,-2.18,19.84861512
-1.8,15.03,-15.03,964.0237139
0,30,7.21,1167.625697
-3.18,3.47,18.38,85.58779974
-10.95,55.83,-15.83,1202.03846
-2.76,44.72,-12.72,1348.99541
0,11.83,16.55,1359.817736
2.15,44.66,-15.86,2007.433204
0,19.96,-7.7,230.7290351
-4.22,40.38,2.94,888.2070666
-3.43,31.81,-24.31,848.0200453
0.26,30.03,-5.04,1734.557201
0.93,30.1,-19.78,100.0899338
0,0,30,165.7110398
-3.12,41.35,-2.3,551.3986773
-1.39,26.32,-25.19,733.767767
-5.83,7.18,27.89,1089.478589
-4.39,36.26,-3.25,418.5910446
-0.29,15.04,-14.84,433.6022044
3.39,29.63,4.26,108.1819675
4.25,30.37,19.6,662.4691766
0.63,25.08,-25.08,221.4588328
-4.24,31.46,-7.04,1028.631293
0.73,27.2,2.52,349.9931623
0.13,22.02,2.47,223.7762946
0,41.75,-13.51,1145.036091
0,37.21,-6.25,149.3500974
