Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,leader_Vehicle_ID,leader_Frame_ID,leader_Total_Frames,leader_Global_Time,leader_Local_X,leader_Local_Y,leader_Global_X,leader_Global_Y,leader_v_length,leader_v_Width,leader_v_Class,leader_v_Vel,leader_v_Acc,leader_Lane_ID,leader_O_Zone,leader_D_Zone,leader_Int_ID,leader_Section_ID,leader_Direction,leader_Movement,leader_Preceding,leader_Following,leader_Space_Headway,leader_Time_Headway,leader_Location,Speed_difference,ln Y ,,ln ( X ) 
386,1867,948,1.11885E+12,18.81,417.917,6451380.171,1873093.584,15.5,6.9,2,9.05,-7.34,2,,,,,,,379,390,45.51,5.03,us-101,379,1756,936,1.11885E+12,17.827,279.111,6451280.185,1873190.524,15,6.9,2,10.31,0,2,,,,,,,373,386,58.35,5.66,us-101,-1.26,1.002166062,,1.658106836
567,3372,987,1.11885E+12,20.598,1929.266,6452510.098,1872097.358,14,7.4,2,22.43,-2.11,2,,,,,,,556,585,44.39,1.98,us-101,556,3043,959,1.11885E+12,19.81,1112.253,6451895.318,1872635.539,12,5,2,28.31,3.74,2,,,,,,,546,567,114.76,4.05,us-101,-5.88,1.369772289,,1.647285145
1312,5302,535,1.11885E+12,15.515,234.843,6451246.657,1873228.284,14.5,5.9,2,32,0,2,,,,,,,1306,1323,41.2,1.29,us-101,1306,6211,1153,1.11885E+12,16.017,259.297,6451266.998,1873206.302,15,6.9,2,16.35,10.92,2,,,,,,,1302,1309,51.09,3.12,us-101,15.65,1.51851394,,1.614897216
232,1522,513,1.11885E+12,20.299,1102.951,6451887.967,1872641.294,16,7.9,2,50,0,2,,,,,,,224,236,101.04,2.02,us-101,224,1302,524,1.11885E+12,18.026,276.266,6451273.791,1873196.427,13,6.9,2,29.95,11.2,2,,,,,,,222,232,40,1.34,us-101,20.05,1.707570176,,2.004493338
1934,5935,584,1.11885E+12,16.171,1435.462,6452171.432,1872399.284,13.5,5.9,2,45.04,-0.74,2,,,,,,,1930,1942,126.73,2.81,us-101,1930,5977,575,1.11885E+12,15.922,1756.504,6452413.114,1872187.691,11.5,4.5,2,45,0,2,,,,,,,1924,1934,102.45,2.28,us-101,0.04,1.663135315,,2.102879435
1863,7424,988,1.11885E+12,19.052,1471.775,6452166.562,1872399.731,14,6.9,2,17.43,-2.5,2,,,,,,,1823,1829,37.52,2.15,us-101,1823,6934,989,1.11885E+12,17.866,845.235,6451695.446,1872812.771,15,5.4,2,21.08,-0.46,2,,,,,,,1817,1829,48.35,2.29,us-101,-3.65,1.265525335,,1.57426283
1703,5246,557,1.11885E+12,19.422,1714.375,6452378.719,1872212.907,12,6.5,2,59.3,-6.32,2,,,,,,,1698,1709,64.11,1.08,us-101,1698,5178,563,1.11885E+12,17.602,1395.364,6452140.356,1872424.513,11.5,7,2,49.97,-0.07,2,,,,,,,1695,1703,68.94,1.38,us-101,9.33,1.780317312,,1.806925777
1172,5770,1141,1.11885E+12,18.051,844.485,6451698.89,1872809.496,15,6.4,2,28.12,1.28,2,,,,,,,1168,1177,73.59,2.62,us-101,1168,6080,1123,1.11885E+12,18.206,1279.612,6452026.502,1872523.072,16,6.9,2,37.8,3.81,2,,,,,,,1160,1172,146.49,3.88,us-101,-9.68,1.464191371,,1.866818803
625,2688,963,1.11885E+12,18.191,407.108,6451368.58,1873105.108,13,5.4,2,24.99,0.52,2,,,,,,,618,629,42.65,1.71,us-101,618,3183,971,1.11885E+12,17.88,1156.106,6451929.637,1872608.202,15.5,5.9,2,36.3,4.27,2,,,,,,,610,625,47.89,1.32,us-101,-11.31,1.41480628,,1.629919036
1452,5835,649,1.11885E+12,19.702,672.413,6451564.302,1872925.507,16,5.4,2,39.5,-1.14,2,,,,,,,1451,1471,56.87,1.44,us-101,1451,5937,635,1.11885E+12,18.576,1122.142,6451903.566,1872629.99,13.5,4.4,2,33.39,-1.91,2,,,,,,,1443,1452,60.69,1.82,us-101,6.11,1.607455023,,1.754883228
1616,7907,674,1.11885E+12,20.564,580.893,6451499.547,1872982.262,13.5,6.9,2,29.53,1.04,2,,,,,,,1613,1619,47.58,1.61,us-101,1613,7910,687,1.11885E+12,20.906,637.473,6451541.518,1872944.268,15.5,6.4,2,30,0,2,,,,,,,1611,1616,75.64,2.52,us-101,-0.47,1.484726804,,1.677424438
1583,6389,911,1.11885E+12,19.29,1301.613,6452038.2,1872511.38,12,6,2,46.25,-6.56,2,,,,,,,1579,1592,70.52,1.52,us-101,1579,6788,905,1.11885E+12,19.819,2066.632,6452616.382,1872009.449,15,5.9,2,19.18,5.16,2,,,,,,,1570,1583,56.26,2.93,us-101,27.07,1.674401813,,1.848312304
2062,7756,1024,1.11885E+12,16.66,548.086,6451473.604,1873010.7,14,4.9,2,18.77,2.65,2,,,,,,,2054,2070,50.86,2.71,us-101,2054,7327,1023,1.11885E+12,17.809,138.228,6451178.742,1873297.358,15,6.4,2,9.19,0,2,,,,,,,2042,2062,38.24,4.16,us-101,9.58,1.296006669,,1.706376356
589,1709,441,1.11885E+12,16.956,1238.098,6452022.202,1872528.501,16,6.4,2,58.37,11.2,2,,,,,,,585,596,69.83,1.2,us-101,585,2673,974,1.11885E+12,19.99,591.817,6451503.99,1872979.059,14.5,5.4,2,24.42,5.58,2,,,,,,,567,592,47.67,1.95,us-101,33.95,1.773567049,,1.844042042
1613,7910,687,1.11885E+12,20.906,637.473,6451541.518,1872944.268,15.5,6.4,2,30,0,2,,,,,,,1611,1616,75.64,2.52,us-101,1611,8070,708,1.11885E+12,17.925,1215.502,6451978.471,1872565.532,13,5.9,2,25,0,2,,,,,,,1606,1613,58.95,2.36,us-101,5,1.491361694,,1.87875152
1341,6525,1040,1.11885E+12,20.475,421.424,6451381.603,1873090,13,6.4,2,26.72,4.45,2,,,,,,,1336,1346,59.75,2.24,us-101,1336,7194,1052,1.11885E+12,17.468,1800.256,6452418.92,1872180.661,13,7.4,2,35,0,2,,,,,,,1334,1341,36.43,1.04,us-101,-8.28,1.442793226,,1.77633791
416,2565,932,1.11885E+12,19.062,1531.256,6452211.203,1872360.457,15.5,4.9,2,9.9,-2.02,2,,,,,,,412,426,36.02,3.64,us-101,412,2757,919,1.11885E+12,20.52,1992.512,6452558.51,1872056.362,16,6.9,2,26.4,0,2,,,,,,,408,416,44.28,1.68,us-101,-16.5,1.037426498,,1.556543708
1337,5541,544,1.11885E+12,17.433,970.683,6451790.069,1872730.285,13.5,5.4,2,33.31,-3.56,2,,,,,,,1331,1341,49.36,1.48,us-101,1331,5334,545,1.11885E+12,17.33,226.833,6451239.804,1873232.82,15,6.4,2,31.19,4.45,2,,,,,,,1323,1337,71.54,2.29,us-101,2.12,1.535420718,,1.693375151
1908,5845,561,1.11885E+12,17.577,1570.677,6452272.246,1872308.969,11,4.5,2,49.63,0.54,2,,,,,,,1901,1911,98.52,1.99,us-101,1901,5612,561,1.11885E+12,17.996,813.358,6451701.663,1872807.129,14,5.9,2,33.01,-3.59,2,,,,,,,1890,1908,53.95,1.63,us-101,16.62,1.704407927,,1.993524403
1292,6215,1260,1.11885E+12,19.63,443.516,6451398.423,1873075.648,14.5,6.4,2,12.4,-0.96,2,,,,,,,1285,1297,40.99,3.31,us-101,1285,6527,1218,1.11885E+12,17.238,1058.932,6451860.93,1872668.906,14,6.9,2,27.91,4.28,2,,,,,,,1278,1292,85.51,3.06,us-101,-15.51,1.127104798,,1.612677918
1802,8763,796,1.11885E+12,18.602,806.395,6451669.951,1872834.207,16.5,5.4,2,19.76,-3.92,2,,,,,,,1798,1806,48.57,2.46,us-101,1798,8739,788,1.11885E+12,18.479,791.84,6451659.087,1872843.908,15,5.9,2,31.31,-7.89,2,,,,,,,1794,1802,57.11,1.82,us-101,-11.55,1.317227349,,1.686368103
1552,7542,881,1.11885E+12,18.062,389.594,6451359.834,1873113.343,14.5,6.4,2,21.85,11.2,2,,,,,,,1547,1558,65.59,3,us-101,1547,7265,882,1.11885E+12,16.78,166.433,6451202.457,1873273.376,14.5,6.4,2,20.32,0,2,,,,,,,1543,1552,56.26,2.77,us-101,1.53,1.358886204,,1.816837631
1232,5981,1179,1.11885E+12,20.588,625.947,6451533.153,1872952.175,17,6.4,2,15.1,2.05,2,,,,,,,1228,1236,52.82,3.5,us-101,1228,5954,1183,1.11885E+12,19.281,636.107,6451541.603,1872946.372,14,6.9,2,15.54,4.3,2,,,,,,,1222,1232,103.17,6.64,us-101,-0.44,1.206825876,,1.722798397
877,4711,771,1.11885E+12,18.851,1848.859,6452454.704,1872147.941,15,6.9,2,35.39,4.48,2,,,,,,,873,883,44.47,1.26,us-101,873,4746,757,1.11885E+12,19.986,1998.095,6452567.313,1872049.596,17,7.4,2,27.69,0,2,,,,,,,868,877,47.38,1.71,us-101,7.7,1.560982056,,1.648067129
1177,6142,1151,1.11885E+12,16.569,1309.187,6452049.832,1872504.806,15.5,7.4,2,40,0.38,2,,,,,,,1172,1180,111.93,2.8,us-101,1172,5770,1141,1.11885E+12,18.051,844.485,6451698.89,1872809.496,15,6.4,2,28.12,1.28,2,,,,,,,1168,1177,73.59,2.62,us-101,11.88,1.612783857,,2.048946504
1476,7564,890,1.11885E+12,16.315,1298.696,6452042.108,1872511.912,15.5,5.9,2,35.29,-2.65,2,,,,,,,1469,1482,81.44,2.31,us-101,1469,7270,874,1.11885E+12,17.846,738.772,6451619.62,1872879.4,15,5.9,2,7.67,0,2,,,,,,,1462,1476,36.5,4.76,us-101,27.62,1.559786968,,1.910837765
1835,9257,864,1.11885E+12,18.778,1693.268,6452337.522,1872250.661,15,6.4,2,1.57,8.85,2,,,,,,,1823,1821,28.84,18.37,us-101,1823,6934,989,1.11885E+12,17.866,845.235,6451695.446,1872812.771,15,5.4,2,21.08,-0.46,2,,,,,,,1817,1829,48.35,2.29,us-101,-19.51,0.409933123,,1.459995256
329,2154,779,1.11885E+12,18.316,1870.886,6452467.519,1872137.484,14,5.9,2,15,0,2,,,,,,,324,344,52.11,3.47,us-101,324,1656,770,1.11885E+12,14.596,239.156,6451250.302,1873225.803,14,5.4,2,46.47,0,2,,,,,,,320,325,79.12,1.7,us-101,-31.47,1.204119983,,1.716921073
334,1834,968,1.11885E+12,19.133,755.776,6451631.548,1872867.215,16.5,6.9,2,25.01,-0.24,2,,,,,,,328,338,95.33,3.81,us-101,328,1950,985,1.11885E+12,18.098,1037.534,6451844.222,1872682.321,17,7.9,2,0,0,2,,,,,,,322,334,32.46,9999.99,us-101,25.01,1.415140352,,1.979229593
1417,5842,546,1.11885E+12,18.319,1116.974,6451899.828,1872633.588,14,5.9,2,29.93,-1.71,2,,,,,,,1413,1426,48.98,1.64,us-101,1413,5687,544,1.11885E+12,19.517,557.847,6451478.986,1873002.055,14,5.9,2,44.97,0,2,,,,,,,1406,1417,146.44,3.26,us-101,-15.04,1.49037992,,1.690018781
1422,7204,890,1.11885E+12,17.493,972.525,6451795.554,1872725.437,14,5.4,2,0,0,2,,,,,,,1405,1421,31.95,9999.99,us-101,1405,7286,904,1.11885E+12,18.912,1171.448,6451944.678,1872593.73,15.5,6.9,2,25,0,2,,,,,,,1400,1422,39.59,1.58,us-101,-25,0,,1.504470862
1677,4867,500,1.11885E+12,19.908,617.684,6451553.333,1872935.04,10,6,2,15.6,4.65,2,,,,,,,1673,1681,33.3,2.13,us-101,1673,8538,431,1.11885E+12,18.171,1986.204,6452559.405,1872058.683,17,6.9,2,43.11,6.32,2,,,,,,,1663,1670,37.17,0.86,us-101,-27.51,1.220108088,,1.522444234
895,4310,642,1.11885E+12,19.239,1300.949,6452037.728,1872511.862,15,7.9,2,41.81,-5.01,2,,,,,,,883,906,54.89,1.31,us-101,883,4783,779,1.11885E+12,19.183,2012.195,6452578.774,1872040.932,15.5,7.4,2,23.47,-3.92,2,,,,,,,877,886,34.52,1.47,us-101,18.34,1.631545228,,1.739493231
2325,8782,660,1.11885E+12,17.843,1420.112,6452128.492,1872434.517,16,6.4,2,23.64,-10.7,2,,,,,,,2318,2327,46.63,1.97,us-101,2318,8504,660,1.11885E+12,17.539,476.201,6451419.827,1873058.766,17,4.9,2,30.5,0,2,,,,,,,2307,2325,94.54,3.1,us-101,-6.86,1.391640703,,1.668665415
1714,8289,671,1.11885E+12,19.428,563.219,6451487.154,1872994.869,13.5,6.4,2,23.24,0,2,,,,,,,1710,1719,39.4,1.7,us-101,1710,8150,669,1.11885E+12,16.306,206.649,6451230.402,1873244.125,17,6.4,2,29.79,2.04,2,,,,,,,1705,1714,46.85,1.57,us-101,-6.55,1.384532615,,1.595496222
1552,7675,881,1.11885E+12,19.834,756.5,6451631.611,1872866.227,14.5,6.4,2,28,7.02,2,,,,,,,1547,1558,52.22,1.87,us-101,1547,7265,882,1.11885E+12,16.78,166.433,6451202.457,1873273.376,14.5,6.4,2,20.32,0,2,,,,,,,1543,1552,56.26,2.77,us-101,7.68,1.462397998,,1.717836867
2322,6747,468,1.11885E+12,15.651,227.946,6451269.627,1873204.083,15,5.9,2,38.52,-5.88,2,,,,,,,2314,2324,57.73,1.5,us-101,2314,6864,472,1.11885E+12,18.284,793.71,6451686.718,1872819.892,14,5.4,2,51.19,2.65,2,,,,,,,2301,2322,123.49,2.41,us-101,-12.67,1.596816936,,1.761401557
2132,6054,546,1.11885E+12,16.565,120.133,6451194.758,1873281.968,13.5,5.9,2,29.48,5.89,2,,,,,,,2127,2138,122.58,4.16,us-101,2127,6459,567,1.11885E+12,19.632,1775.614,6452425.122,1872172.475,13.5,6.9,2,37.52,11.2,2,,,,,,,2124,2132,48.92,1.3,us-101,-8.04,1.484014963,,2.088419617
1698,5178,563,1.11885E+12,17.602,1395.364,6452140.356,1872424.513,11.5,7,2,49.97,-0.07,2,,,,,,,1695,1703,68.94,1.38,us-101,1695,8684,663,1.11885E+12,19.969,2021.754,6452585.802,1872034.188,14,4.9,2,36.8,3.37,2,,,,,,,1698,1700,80.79,2.2,us-101,13.17,1.707314634,,1.838471279
2729,8559,805,1.11885E+12,18.046,1728.491,6452390.486,1872204.342,14,5.9,2,34.36,5.69,2,,,,,,,2719,2730,50.5,1.47,us-101,2719,7975,809,1.11885E+12,22.453,584.068,6451526.609,1872955.526,12.5,5.5,2,31.86,-8.49,2,,,,,,,2714,2729,50.99,1.6,us-101,2.5,1.548512256,,1.703291378
108,866,729,1.11885E+12,18.328,983.464,6451803.305,1872717.593,17,6.9,2,35.9,1.94,2,,,,,,,106,112,45.5,1.27,us-101,106,753,697,1.11885E+12,21.301,603.2,6451515.713,1872966.815,14,5.9,2,37.57,-1.24,2,,,,,,,101,108,54.65,1.45,us-101,-1.67,1.567026366,,1.658011397
258,1249,972,1.11885E+12,18.281,457.505,6451409.631,1873067.154,16,6.9,2,20.13,-4.52,2,,,,,,,253,262,35.52,1.76,us-101,253,1562,973,1.11885E+12,18.863,1049.387,6451852.674,1872673.943,14.5,5.4,2,8.75,0,2,,,,,,,246,258,30.03,3.43,us-101,11.38,1.324899497,,1.550472957
1794,8632,750,1.11885E+12,19.443,507.919,6451445.906,1873032.143,14.5,5.9,2,21.21,7.89,2,,,,,,,1789,1798,64.56,3.04,us-101,1789,8584,816,1.11885E+12,19.267,464.106,6451413.812,1873061.96,13.5,5.9,2,15,0,2,,,,,,,1779,1794,38.53,2.57,us-101,6.21,1.346548559,,1.809963522
2873,8741,856,1.11885E+12,18.603,848.808,6451727.881,1872783.258,14.5,6.4,2,29.99,0.13,2,,,,,,,2870,2879,60.43,2.02,us-101,2870,8937,802,1.11885E+12,18.763,1676.855,6452351.208,1872238.427,15.5,7.9,2,49.99,0,2,,,,,,,2864,2873,153.78,3.08,us-101,-20,1.491221576,,1.781252594
1691,6380,1039,1.11885E+12,20.187,483.228,6451423.2,1873052.057,17,6.9,2,20.77,0,2,,,,,,,1680,1700,92.67,4.46,us-101,1680,6947,1055,1.11885E+12,18.553,1598.842,6452262.463,1872316.158,15,5.9,2,12.48,0.56,2,,,,,,,1675,1691,41.75,3.35,us-101,8.29,1.337858429,,1.966939163
1478,4306,536,1.11885E+12,17.07,991.017,6451836.043,1872690.801,10,6,2,37.41,6.72,2,,,,,,,1476,1486,63.19,1.69,us-101,1476,4053,541,1.11885E+12,18.188,294.676,6451316.125,1873155.286,12.5,7,2,23.4,4.59,2,,,,,,,1471,1478,43.88,1.88,us-101,14.01,1.584444307,,1.800648355
1718,6508,1038,1.11885E+12,19.644,573.832,6451490.816,1872991.304,11.5,5.5,2,19.99,0,2,,,,,,,1712,1725,58.01,2.9,us-101,1712,6782,1040,1.11885E+12,18.817,1334.242,6452063.017,1872490.264,18.5,5.9,2,0,0,2,,,,,,,1704,1718,25.94,9999.99,us-101,19.99,1.322012439,,1.763502865
1421,7552,880,1.11885E+12,18.532,1911.055,6452501.82,1872107.31,14.5,5.9,2,38.24,4.13,2,,,,,,,1422,1431,137.89,3.61,us-101,1422,7204,890,1.11885E+12,17.493,972.525,6451795.554,1872725.437,14,5.4,2,0,0,2,,,,,,,1405,1421,31.95,9999.99,us-101,38.24,1.593728999,,2.139532772
1966,7110,948,1.11885E+12,19.492,429.862,6451384.428,1873088.733,14.5,5.4,2,9.83,0,2,,,,,,,1953,1980,45.89,4.67,us-101,1953,7041,944,1.11885E+12,17.349,296.359,6451288.958,1873182.709,11.5,5,2,34.71,-0.99,2,,,,,,,1951,1966,67.67,1.95,us-101,-24.88,1.034628457,,1.661718058
1714,8566,671,1.11885E+12,19.567,1318.695,6452055.002,1872496.29,13.5,6.4,2,45,0,2,,,,,,,1710,1719,68.94,1.53,us-101,1710,8150,669,1.11885E+12,16.306,206.649,6451230.402,1873244.125,17,6.4,2,29.79,2.04,2,,,,,,,1705,1714,46.85,1.57,us-101,15.21,1.662757832,,1.838471279
1018,4820,848,1.11885E+12,16.093,262.784,6451269.357,1873203.727,16,6.9,2,37.9,-3.38,2,,,,,,,1014,1023,44.83,1.18,us-101,1014,5511,851,1.11885E+12,19.828,1861.863,6452463.865,1872138.663,16,6.9,2,20.38,4.22,2,,,,,,,1009,1018,70.49,3.46,us-101,17.52,1.589949601,,1.651568739
1232,5834,1179,1.11885E+12,19.438,481.852,6451426.746,1873049.808,17,6.4,2,1,0,2,,,,,,,1228,1236,27.15,27.15,us-101,1228,5954,1183,1.11885E+12,19.281,636.107,6451541.603,1872946.372,14,6.9,2,15.54,4.3,2,,,,,,,1222,1232,103.17,6.64,us-101,-14.54,0.301029996,,1.433769834
